上呼吸道感染	中药功效与主治：上呼吸道感染。
下乳	中药功效与主治：下乳。
下乳汁	中药功效与主治：下乳汁。
下乳消肿	中药功效与主治：下乳消肿。
下气	中药功效与主治：下气。
下气止痛	中药功效与主治：下气止痛。
下气除满	中药功效与主治：下气除满。
下疳	中药功效与主治：下疳。
下痢	中药功效与主治：下痢。
下肢溃疡	中药功效与主治：下肢溃疡。
下食	中药功效与主治：下食。
不下食	中药功效与主治：不下食。
不思饮食	中药功效与主治：不思饮食。
不眠	中药功效与主治：不眠。
丝虫病	中药功效与主治：丝虫病。
中暑	中药功效与主治：中暑。
中耳炎	中药功效与主治：中耳炎。
中风	中药功效与主治：中风。
丹毒	中药功效与主治：丹毒。
主咳嗽	中药功效与主治：主咳嗽。
主咽喉	中药功效与主治：主咽喉。
主感冒	中药功效与主治：主感冒。
主月经不调	中药功效与主治：主月经不调。
主气滞	中药功效与主治：主气滞。
主水肿	中药功效与主治：主水肿。
主消渴	中药功效与主治：主消渴。
主湿热	中药功效与主治：主湿热。
主疟疾	中药功效与主治：主疟疾。
主肺热	中药功效与主治：主肺热。
主肾虚	中药功效与主治：主肾虚。
主脾虚	中药功效与主治：主脾虚。
久不收口	中药功效与主治：久不收口。
久咳	中药功效与主治：久咳。
久泻	中药功效与主治：久泻。
久泻久痢	中药功效与主治：久泻久痢。
久疟	中药功效与主治：久疟。
久痢	中药功效与主治：久痢。
乌发	中药功效与主治：乌发。
乏力	中药功效与主治：乏力。
乙脑	中药功效与主治：乙脑。
乳少	中药功效与主治：乳少。
乳汁不下	中药功效与主治：乳汁不下。
乳汁不通	中药功效与主治：乳汁不通。
乳疮	中药功效与主治：乳疮。
乳痈	中药功效与主治：乳痈。
乳痈肿痛	中药功效与主治：乳痈肿痛。
乳糜尿	中药功效与主治：乳糜尿。
乳肿	中药功效与主治：乳肿。
乳腺炎	中药功效与主治：乳腺炎。
乳腺癌	中药功效与主治：乳腺癌。
乳蛾	中药功效与主治：乳蛾。
二便不通	中药功效与主治：二便不通。
五劳七伤	中药功效与主治：五劳七伤。
交通心肾	中药功效与主治：交通心肾。
产后出血	中药功效与主治：产后出血。
产后瘀滞腹痛	中药功效与主治：产后瘀滞腹痛。
产后瘀血腹痛	中药功效与主治：产后瘀血腹痛。
产后瘀阻	中药功效与主治：产后瘀阻。
产后腹痛	中药功效与主治：产后腹痛。
产后血晕	中药功效与主治：产后血晕。
产后血瘀	中药功效与主治：产后血瘀。
产难	中药功效与主治：产难。
传染性肝炎	中药功效与主治：传染性肝炎。
伤寒	中药功效与主治：伤寒。
伤风感冒	中药功效与主治：伤风感冒。
体虚	中药功效与主治：体虚。
体虚乏力	中药功效与主治：体虚乏力。
便溏	中药功效与主治：便溏。
便秘	中药功效与主治：便秘。
便血	中药功效与主治：便血。
偏头痛	中药功效与主治：偏头痛。
偏正头痛	中药功效与主治：偏正头痛。
偏瘫	中药功效与主治：偏瘫。
停滞	中药功效与主治：停滞。
健忘	中药功效与主治：健忘。
健筋骨	中药功效与主治：健筋骨。
健胃	中药功效与主治：健胃。
健胃消食	中药功效与主治：健胃消食。
健脑	中药功效与主治：健脑。
健脾	中药功效与主治：健脾。
健脾化湿	中药功效与主治：健脾化湿。
健脾和胃	中药功效与主治：健脾和胃。
健脾宁心	中药功效与主治：健脾宁心。
健脾开胃	中药功效与主治：健脾开胃。
健脾止泻	中药功效与主治：健脾止泻。
健脾消积	中药功效与主治：健脾消积。
健脾消食	中药功效与主治：健脾消食。
健脾渗湿	中药功效与主治：健脾渗湿。
健脾益气	中药功效与主治：健脾益气。
健脾益肺	中药功效与主治：健脾益肺。
健脾益胃	中药功效与主治：健脾益胃。
健脾胃	中药功效与主治：健脾胃。
催乳	中药功效与主治：催乳。
催生	中药功效与主治：催生。
关节炎	中药功效与主治：关节炎。
关节疼痛	中药功效与主治：关节疼痛。
关节痛	中药功效与主治：关节痛。
关节痹痛	中药功效与主治：关节痹痛。
关节肿痛	中药功效与主治：关节肿痛。
关节酸痛	中药功效与主治：关节酸痛。
养心	中药功效与主治：养心。
养心安神	中药功效与主治：养心安神。
养肝	中药功效与主治：养肝。
养肝明目	中药功效与主治：养肝明目。
养胃	中药功效与主治：养胃。
养血	中药功效与主治：养血。
养血安神	中药功效与主治：养血安神。
养血祛风	中药功效与主治：养血祛风。
养血调经	中药功效与主治：养血调经。
养阴	中药功效与主治：养阴。
养阴和胃	中药功效与主治：养阴和胃。
养阴润燥	中药功效与主治：养阴润燥。
养阴润肺	中药功效与主治：养阴润肺。
养阴清肺	中药功效与主治：养阴清肺。
养阴生津	中药功效与主治：养阴生津。
内伤	中药功效与主治：内伤。
内伤吐血	中药功效与主治：内伤吐血。
内服治	中药功效与主治：内服治。
内热消渴	中药功效与主治：内热消渴。
冠心病	中药功效与主治：冠心病。
冷气	中药功效与主治：冷气。
冷痢	中药功效与主治：冷痢。
冷积	中药功效与主治：冷积。
冻伤	中药功效与主治：冻伤。
冻疮	中药功效与主治：冻疮。
凉心定惊	中药功效与主治：凉心定惊。
凉散风热	中药功效与主治：凉散风热。
凉肝	中药功效与主治：凉肝。
凉血	中药功效与主治：凉血。
凉血利咽	中药功效与主治：凉血利咽。
凉血散瘀	中药功效与主治：凉血散瘀。
凉血止痢	中药功效与主治：凉血止痢。
凉血止血	中药功效与主治：凉血止血。
凉血活血	中药功效与主治：凉血活血。
凉血消斑	中药功效与主治：凉血消斑。
凉血消肿	中药功效与主治：凉血消肿。
凉血滋阴	中药功效与主治：凉血滋阴。
凉血解毒	中药功效与主治：凉血解毒。
凉血除蒸	中药功效与主治：凉血除蒸。
出汗	中药功效与主治：出汗。
出血	中药功效与主治：出血。
刀伤	中药功效与主治：刀伤。
刀伤出血	中药功效与主治：刀伤出血。
创伤	中药功效与主治：创伤。
创伤出血	中药功效与主治：创伤出血。
利九窍	中药功效与主治：利九窍。
利二便	中药功效与主治：利二便。
利五脏	中药功效与主治：利五脏。
利关节	中药功效与主治：利关节。
利咽	中药功效与主治：利咽。
利咽喉	中药功效与主治：利咽喉。
利咽解毒	中药功效与主治：利咽解毒。
利大小便	中药功效与主治：利大小便。
利大小肠	中药功效与主治：利大小肠。
利大肠	中药功效与主治：利大肠。
利小便	中药功效与主治：利小便。
利尿	中药功效与主治：利尿。
利尿托毒	中药功效与主治：利尿托毒。
利尿消肿	中药功效与主治：利尿消肿。
利尿解毒	中药功效与主治：利尿解毒。
利尿通淋	中药功效与主治：利尿通淋。
利气	中药功效与主治：利气。
利水	中药功效与主治：利水。
利水消肿	中药功效与主治：利水消肿。
利水渗湿	中药功效与主治：利水渗湿。
利水通淋	中药功效与主治：利水通淋。
利水通经	中药功效与主治：利水通经。
利水道	中药功效与主治：利水道。
利湿	中药功效与主治：利湿。
利湿去浊	中药功效与主治：利湿去浊。
利湿热	中药功效与主治：利湿热。
利湿退黄	中药功效与主治：利湿退黄。
利湿通淋	中药功效与主治：利湿通淋。
利窍	中药功效与主治：利窍。
利肠胃	中药功效与主治：利肠胃。
利胆	中药功效与主治：利胆。
